"","Differentiated","KRT17","EMT","Cell_cycle","Ciliated","P-value","Correlation","RMSE"
"TCGA-25-1314-01",0.449596166683496,0,0.239409848573555,0.31099398474295,0,0.108,0.291031424970434,1.02018313571863
"TCGA-25-2393-01",0,0,0.27837949047604,0.721620509523961,0,0.484,0.0634455215359278,1.09048967604429
"TCGA-23-2081-01",0.237578215196991,0.46748013746466,0.060801285580991,0.234140361757357,0,0.256,0.165787301365446,1.09402562035542
"TCGA-29-1762-01",0.142363114781012,0,0,0.857636885218988,0,0.247,0.171614186102587,1.08292140640946
"TCGA-23-1123-01",0.0363140550444194,0.127839336983759,0,0.835846607971821,0,0.121,0.274696839678064,1.01091147536342
"TCGA-24-1435-01",0,0.0419076307352854,0.399598092866585,0.55849427639813,0,0.14,0.247595642632066,1.00074169520108
"TCGA-24-2026-01",0.545348520591188,0.133029105456338,0.173361330946686,0.136145823147527,0.0121152198582613,0.011,0.530625810024584,0.865980167652941
"TCGA-36-1575-01",0.656740874157515,0,0.0110612265590233,0.332197899283462,0,0.09,0.307657176765953,1.05981922435107
"TCGA-10-0928-01",0.249171142252179,0,0,0.750828857747821,0,0.026,0.45675760301458,0.907950767811468
"TCGA-36-1568-01",0.417440493447808,0.322852945632722,0.25970656091947,0,0,0.001,0.628717911271931,0.780119506108025
"TCGA-36-1576-01",0.254042633213292,0,0.48738750923513,0.258569857551578,0,0.164,0.228563839763764,1.04931502930995
"TCGA-24-1463-01",0.32152786528033,0,0.238841762746428,0.439630371973243,0,0.33,0.129400383841804,1.09479752843481
"TCGA-57-1993-01",0,0.326732792277592,0,0.673267207722408,0,0.211,0.197175229976705,1.04751883458388
"TCGA-24-2036-01",0.30182292830979,0.370271128931839,0,0.301833290226507,0.0260726525318635,0.083,0.32408378737594,1.0015163716387
"TCGA-13-1403-01",0.369604357800681,0.387468213203676,0.027185964877456,0.215741464118187,0,0.1,0.299185259747318,1.0329173864341
"TCGA-09-0369-01",0,0,0.625070210617508,0.374929789382492,0,0.152,0.236077242703215,1.04129788154601
"TCGA-24-1103-01",0,0.382291670727232,0.0312880831510596,0.571816750352483,0.0146034957692251,0.005,0.586230086018977,0.808392134852948
"TCGA-25-1871-01",0.505165540827324,0,0.161412811984698,0.333421647187978,0,0.207,0.19957925194361,1.08897197010111
"TCGA-23-1029-01",0,0.221094295482085,0.173658188181665,0.605247516336251,0,0.026,0.463124943739684,0.882055817745878
"TCGA-25-1630-01",0.441868836029863,0.114757378591173,0.110372765826336,0.333001019552627,0,0.254,0.16806074336802,1.10387433539791
"TCGA-25-1634-01",0.747278504540001,0,0.140652489811536,0.112069005648463,0,0.025,0.467973406395396,0.944092877501534
"TCGA-61-1721-01",0,0,1,0,0,0.00900000000000001,0.537772192957961,0.92913535762696
"TCGA-24-1413-01",0.561766630218877,0.350378271554239,0,0,0.0878550982268835,0.001,0.614952326363139,0.804172855634147
"TCGA-25-1323-01",0.140591522575036,0,0.326012083349589,0.533396394075376,0,0.261,0.162560705812499,1.05382282425851
"TCGA-61-2110-01",0.52186160727278,0.309566850651264,0.168571542075957,0,0,0.033,0.428355579049197,0.956480122962226
"TCGA-61-2109-01",0.590230517416771,0,0,0.409769482583229,0,0.011,0.53303907120024,0.876215653933214
"TCGA-04-1514-01",0,0,0.232623534533085,0.767376465466915,0,0.489,0.060528583625687,1.0944306315495
"TCGA-VG-A8LO-01",0.526635139086744,0.0567832719273982,0.0196232817157594,0.396958307270099,0,0.002,0.604727794882331,0.808169318422443
"TCGA-24-1549-01",0.155722074749392,0.276395582820634,0.099657099898093,0.468225242531881,0,0,0.652087156787563,0.760034704737004
"TCGA-29-1784-01",0.391681665183933,0.608318334816067,0,0,0,0.018,0.497192496570756,0.912947517549596
"TCGA-13-A5FT-01",0.338184433299577,0,0,0.661815566700423,0,0.024,0.47396459512237,0.900751388124013
"TCGA-61-1736-01",0.416434420729263,0,0.0323843684204408,0.502068636368033,0.0491125744822639,0.054,0.375397227683894,0.962809808533253
"TCGA-OY-A56P-01",0.873655010564734,0,0,0.126344989435266,0,0.217,0.191361237422509,1.19713026032219
"TCGA-29-1690-01",0.235637663930417,0.518961181832843,0.24540115423674,0,0,0.101,0.297573726467081,1.01652726317714
"TCGA-29-1761-01",0.655163647102049,0,0,0.344836352897951,0,0.675,-0.00898986104933114,1.26873210281644
"TCGA-24-2281-01",0.0331999420460661,0.126346251875653,0.0747912253917866,0.765662580686494,0,0.092,0.305868643739005,0.980882219311583
